"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Parabank Functional Tests","1","Funds Transfer","0","0","Transfer Money Between Accounts","0"
"0","Parabank Functional Tests","0","Dashboard","1","0","Home Page Loading","0"
"0","Parabank Functional Tests","0","Account Overview","1","0","View Accounts Overview","0"
"0","Parabank Functional Tests","0","Authentication","2","0","User Login","0"
"0","Parabank Functional Tests","1","Authentication","0","0","User Registration","0"
"0","Parabank Functional Tests","1","Payments","0","0","Bill Payment","0"
"0","Parabank Functional Tests","0","Account Management","1","0","Open New Account","0"
"0","Parabank Functional Tests","1","User Profile","0","0","Update Profile Information","0"
"0","Parabank Functional Tests","0","Dashboard","1","0","Home Page Navigation","0"
